survey,random_order,reason,translation,roy_categorized
ecv2020,1,Craindre la COVID-19,Fear of COVID-19,31
ecv2020,2,IL ATTEND L'�GE DE 9MOIS POUR D'AUTRES VACCINS,He is waiting until the age of 9 months for other vaccines,32
ecv2021,3,L’ENFANT N’A PAS EU LES VACCINS PARCEQUE JE CROIYAIS QUE CE  LES VACCINS DE LA COVID 19,The child didn't receive vaccines because I believed it was the COVID-19 vaccines,27
ecv2021,4,MON ABSENCE,My absence,25
ecv2020,5,ON SE DEPLACE TROP,We move around too much,25
ecv2020,6,"L,enfant a encore 6mois",The child is still 6 months old,32
ecv2021,7,PASSÉ BEAUCOUP DE TEMP AU CHAMP,Spent a lot of time in the field,34
ecv2021,8,CRAINTE DE VACCINER L ENFANT LE VACCIN DE COVID19,Fear of vaccinating the child with the COVID-19 vaccine,27
ecv2020,9,Encore en cours de sa vaccination,Still in the process of being vaccinated,32
ecv2021,10,GRÈVE  DES PROSANTE NON MEDECINS,Strike by non-doctor health professionals,23
ecv2021,11,LE DECE DE SON MARI,The death of her husband,4
ecv2021,12,DEPLACEMENT DES PARENTS VERS LE CAMPEMENT,Parents moving to the campsite,25
ecv2020,13,TRAVAUX CHAMP�TRE DE LA MERE,Mother's fieldwork,34
ecv2021,14,MON ENFANT AVAIT REÇU TOUS PES VACCINS,My child had received all his vaccines,35
ecv2021,15,A PRIS PAS MENTIONNE,Reason not mentioned,28
ecv2020,16,JE SUIS TOUJOURS AU CAMPEMENT POUR LES TRAVAUX DE CHAMP,I am always at the camp for fieldwork,34
ecv2020,17,ON ATTENT LE VACCIN DE 9 MOIS,Waiting for the 9-month vaccine,32
ecv2020,18,ENFANT A MOIN DE 9 MOIS  POURSUIT SON CALENDRIER VACCINAL,Child is less than 9 months old and continues his vaccination schedule,32
ecv2022,19,BEBE  AMENER LONGTEMPS  AU CHAMP,Baby spent a long time in the field,34
ecv2020,20,DIEU GARDE,God keeps (or God protects),21
ecv2020,21,�ge inf�rieure,Younger age,32
ecv2021,22,"MAMAN ETAIT ALLE AU DEUIL AVEC L'ENFANT, RUPTURE EN VAR ET VAA  TROIS RENDEZ-VOUS","Mother was away at a funeral with the child, stockout of VAR and VAA, missed three appointments",17
ecv2021,23,VOYAGE DE SA MERE,Mother's travel,25
ecv2021,24,FERMETURE DE CS PAR LA GREVE DES INFIRMIERS,Closure of health center due to nurses' strike,23
ecv2020,25,"Nos enfants d�veloppent les autres maladies apr�s injection des vaccins qui nous co�te tr�s cher dans le payement des soins m�dicaux. Donc, mieux vaut ne pas prendre les injections.","Our children develop other diseases after the vaccine injections, which costs us a lot in medical payments. Therefore, it's better not to take the injections.",10
ecv2021,26,ALLEZ AU CAMPEMENT POUR LES TRAVAUX CHAMPETRE,Going to the camp for fieldwork,34
ecv2020,27,M�re  malade,Mother sick,4
